Description	Category	CategoryID	GO	LogP	Enrichment	Z.score	X.TotalGeneInLibrary	X.GeneInGO	X.GeneInHitList	X.GeneInGOAndHitList	X.InGO	STDV..InGO	GeneID	Hits	Log.q.value.	GeneList
amine transport	GO Biological Processes	19	GO:0015837	-2.3	3.1	3.4	27994	101	724	8	1.1	0.39	477|4887|7432|10991|26281|51458|51760|341359	ATP1A2|NPY2R|VIP|SLC38A3|FGF20|RHCG|SYT17|SYT10	-2.1	12
embryonic organ development	GO Biological Processes	19	GO:0048568	-3.7	2.2	4.1	27994	453	700	25	3.6	0.7	1301|2138|2254|2487|2668|2736|3398|4435|4838|4920|5125|5156|5915|6169|6262|7173|8320|8557|8854|9132|23242|23414|51761|57216|140469	11A1|EYA1|FGF9|FRZB|GDNF|GLI2|ID2|CITED1|NODAL|ROR2|PCSK5|PDGFRA|RARB|RPL38|RYR2|TPO|EOMES|TCAP|ALDH1A2|KCNQ4|COBL|ZFPM2|ATP8A2|VANGL2|MYO3B	-3.1	14
embryonic organ development	GO Biological Processes	19	GO:0048568	-5.3	2.5	5.3	27994	453	741	30	4	0.72	655|2253|2668|2735|2736|3516|3586|3975|4647|5156|5915|6262|6862|6928|7274|7484|8516|8854|22846|23242|23414|25861|55084|60529|79805|79977|84870|89780|140469|347733	BMP7|FGF8|GDNF|GLI1|GLI2|RBPJ|IL10|LHX1|MYO7A|PDGFRA|RARB|RYR2|TBXT|HNF1B|TTPA|WNT9B|ITGA8|ALDH1A2|VASH1|COBL|ZFPM2|WHRN|SOBP|ALX4|VASH2|GRHL2|RSPO3|WNT3A|MYO3B|TUBB2B	-4.4	17
embryonic organ development	GO Biological Processes	19	GO:0048568	-27	5	15	27994	453	823	67	8.1	0.95	257|430|474|655|1280|1305|1482|1749|1750|2019|2020|2103|2255|2290|2294|2624|2625|2626|2778|3167|3205|3207|3212|3213|3214|3215|3216|3217|3218|3219|3227|3232|3233|3235|3236|3549|3815|4208|5076|5079|5080|5459|5629|6262|6496|6662|6913|7401|7545|8092|9241|9421|9464|9935|10083|10660|23493|51176|51761|55084|57453|60529|84870|121643|137814|140469|340784	ALX3|ASCL2|ATOH1|BMP7|2A1|13A1|NKX2-5|DLX5|DLX6|EN1|EN2|ESRRB|FGF10|FOXG1|FOXF1|GATA2|GATA3|GATA4|GNAS|HMX2|HOXA9|HOXA11|HOXB2|HOXB3|HOXB4|HOXB5|HOXB6|HOXB7|HOXB8|HOXB9|HOXC11|HOXD3|HOXD4|HOXD9|HOXD10|IHH|KIT|MEF2C|PAX2|PAX5|PAX6|POU4F3|PROX1|RYR2|SIX3|SOX9|TBX15|CLRN1|ZIC1|ALX1|NOG|HAND1|HAND2|MAFB|USH1C|LBX1|HEY2|LEF1|ATP8A2|SOBP|DSCAML1|ALX4|RSPO3|FOXN4|NKX2-6|MYO3B|HMX3	-24	20
embryonic organ development	GO Biological Processes	19	GO:0048568	-2.5	1.9	3.2	27994	453	753	23	3.1	0.63	2138|2255|3481|4208|5456|5915|6262|6474|6495|6788|7472|8013|8854|9496|10716|23242|23414|25806|51761|54903|140469|140947|497189	EYA1|FGF10|IGF2|MEF2C|POU3F4|RARB|RYR2|SHOX2|SIX1|STK3|WNT2|NR4A3|ALDH1A2|TBX4|TBR1|COBL|ZFPM2|VAX2|ATP8A2|MKS1|MYO3B|DCANP1|TIFAB	-2.2	18
embryonic organ development	GO Biological Processes	19	GO:0048568	-2.1	1.8	2.8	27994	453	722	21	2.9	0.63	2103|2138|2637|2736|3211|5013|5087|5125|5915|6886|6928|7401|7481|8854|9132|23314|51384|51761|84870|124590|140469	ESRRB|EYA1|GBX2|GLI2|HOXB1|OTX1|PBX1|PCSK5|RARB|TAL1|HNF1B|CLRN1|WNT11|ALDH1A2|KCNQ4|SATB2|WNT16|ATP8A2|RSPO3|USH1G|MYO3B	-1.9	16
embryonic organ development	GO Biological Processes	19	GO:0048568	-7.4	2.8	6.6	27994	453	765	35	4.6	0.76	525|579|668|1045|2138|2255|2295|2702|4208|4487|4760|4762|5125|5396|5915|6262|6469|6913|7471|7484|9423|23242|23414|25806|30009|51176|57057|58495|64220|64321|65009|91461|140469|145258|286204	ATP6V1B1|NKX3-2|FOXL2|CDX2|EYA1|FGF10|FOXF2|GJA5|MEF2C|MSX1|NEUROD1|NEUROG1|PCSK5|PRRX1|RARB|RYR2|SHH|TBX15|WNT1|WNT9B|NTN1|COBL|ZFPM2|VAX2|TBX21|LEF1|TBX20|OVOL2|STRA6|SOX17|NDRG4|PKDCC|MYO3B|GSC|CRB2	-6.2	19
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-2.2	1.6	2.8	27994	704	701	29	4.1	0.75	174|596|3479|3973|4192|4436|4438|5270|5340|5740|6847|7482|8382|9353|9420|11055|23414|23639|26038|26108|54763|56853|58494|63978|117154|135138|146849|147872|163589	AFP|BCL2|IGF1|LHCGR|MDK|MSH2|MSH4|SERPINE2|PLG|PTGIS|SYCP1|WNT2B|NME5|SLIT2|CYP7B1|ZPBP|ZFPM2|LRRC6|CHD5|PYGO1|ROPN1|CELF4|JAM2|PRDM14|DACH2|PACRG|CCDC42|KASH5|TDRD5	-2	11
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-8.8	2.5	7.1	27994	704	823	52	6.3	0.85	117|174|430|655|1235|1761|2103|2255|2624|2625|2626|3205|3206|3207|3239|3400|3549|3625|3815|4036|4090|4824|5139|5618|6586|6662|6690|7080|7141|7490|8549|9241|9353|9420|9421|10461|10481|10655|23493|51176|54937|56776|56853|58524|64753|80217|84870|122042|255101|344018|431707|101927581	ADCYAP1R1|AFP|ASCL2|BMP7|CCR6|DMRT1|ESRRB|FGF10|GATA2|GATA3|GATA4|HOXA9|HOXA10|HOXA11|HOXD13|ID4|IHH|INHBB|KIT|LRP2|SMAD5|NKX3-1|PDE3A|PRLR|SLIT3|SOX9|SPINK1|NKX2-1|TNP1|WT1|LGR5|NOG|SLIT2|CYP7B1|HAND1|MERTK|HOXB13|DMRT2|HEY2|LEF1|SOHLH2|FMN2|CELF4|DMRT3|CCDC136|CFAP43|RSPO3|RXFP2|CFAP65|FIGLA|LHX8|CCDC182	-7.4	20
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-3	1.8	3.5	27994	704	733	33	4.5	0.77	249|654|1602|1747|2119|2620|3172|4036|5156|6092|6586|6768|7026|8549|9148|9353|10371|10461|11055|23414|25981|50846|56165|56776|56977|63946|64100|91181|122042|135138|203447|344758|375337	ALPL|BMP6|DACH1|DLX3|ETV5|GAS2|HNF4A|LRP2|PDGFRA|ROBO2|SLIT3|ST14|NR2F2|LGR5|NEURL1|SLIT2|SEMA3A|MERTK|ZPBP|ZFPM2|DNAH1|DHH|TDRD1|FMN2|STOX2|DMRTC2|ELSPBP1|NUP210L|RXFP2|PACRG|NRK|GPR149|TOPAZ1	-2.6	13
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-2.7	1.8	3.3	27994	704	642	29	4.5	0.82	1396|1602|2254|2255|2620|2736|3293|3371|3479|3516|4920|5155|6092|9148|10184|11055|11144|23414|54937|56159|56729|56853|58494|64100|83700|91181|116369|122042|150921	CRIP1|DACH1|FGF9|FGF10|GAS2|GLI2|HSD17B3|TNC|IGF1|RBPJ|ROR2|PDGFB|ROBO2|NEURL1|LHFPL2|ZPBP|DMC1|ZFPM2|SOHLH2|TEX11|RETN|CELF4|JAM2|ELSPBP1|JAM3|NUP210L|SLC26A8|RXFP2|TCF23	-2.4	4
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-5.2	2.1	5.1	27994	704	741	40	5.4	0.83	655|1080|1588|1602|2253|2620|2627|2693|2735|2736|3293|3516|3586|3975|4846|5156|6586|6595|6658|6847|7274|7425|7484|9420|10388|11055|22846|23414|26038|56776|56853|58494|79805|79977|80217|84870|132141|140732|168391|101928601	BMP7|CFTR|CYP19A1|DACH1|FGF8|GAS2|GATA6|GHSR|GLI1|GLI2|HSD17B3|RBPJ|IL10|LHX1|NOS3|PDGFRA|SLIT3|SMARCA2|SOX3|SYCP1|TTPA|VGF|WNT9B|CYP7B1|SYCP2|ZPBP|VASH1|ZFPM2|CHD5|FMN2|CELF4|JAM2|VASH2|GRHL2|CFAP43|RSPO3|IQCF1|SUN5|GALNTL5|MEI4	-4.3	17
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-2	1.6	2.6	27994	704	753	30	4	0.71	116|1602|2255|2488|3169|3481|4438|4880|5139|5241|5324|5568|6407|6788|6847|7472|8382|9148|23414|29118|51361|56776|56956|81833|132612|140947|147872|255626|375337|497189	ADCYAP1|DACH1|FGF10|FSHB|FOXA1|IGF2|MSH4|NPPC|PDE3A|PGR|PLAG1|PRKACG|SEMG2|STK3|SYCP1|WNT2|NME5|NEURL1|ZFPM2|DDX25|HOOK1|FMN2|LHX9|SPACA1|ADAD1|DCANP1|KASH5|H2BC1|TOPAZ1|TIFAB	-1.8	18
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-6	2.2	5.6	27994	704	765	43	5.6	0.83	654|668|1045|1080|1271|1588|1602|1811|2099|2255|2295|2516|2620|3645|4036|4436|4762|4846|4914|5468|5618|5972|6423|6469|7484|8022|9353|11055|23414|51176|51361|51673|56776|58495|64220|84733|89884|124626|135138|140732|163589|317761|642636	BMP6|FOXL2|CDX2|CFTR|CNTFR|CYP19A1|DACH1|SLC26A3|ESR1|FGF10|FOXF2|NR5A1|GAS2|INSRR|LRP2|MSH2|NEUROG1|NOS3|NTRK1|PPARG|PRLR|REN|SFRP2|SHH|WNT9B|LHX3|SLIT2|ZPBP|ZFPM2|LEF1|HOOK1|TPPP3|FMN2|OVOL2|STRA6|CBX2|LHX4|ZPBP2|PACRG|SUN5|TDRD5|C14orf39|RAD21L1	-5	19
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-2.3	1.7	2.8	27994	704	693	29	4.2	0.76	190|268|1080|1299|1602|2099|4436|5740|5950|6092|6586|6716|7046|8549|9353|10461|11055|23414|29999|51176|56977|89765|89766|116369|135138|160762|203447|642636|101928601	NR0B1|AMH|CFTR|9A3|DACH1|ESR1|MSH2|PTGIS|RBP4|ROBO2|SLIT3|SRD5A2|TGFBR1|LGR5|SLIT2|MERTK|ZPBP|ZFPM2|FSCN3|LEF1|STOX2|RSPH1|UMODL1|SLC26A8|PACRG|CCDC63|NRK|RAD21L1|MEI4	-2	10
developmental process involved in reproduction	GO Biological Processes	19	GO:0003006	-2.9	1.8	3.5	27994	704	650	30	4.6	0.82	596|1080|1588|1602|1761|4036|4438|4920|5241|6586|6768|7274|7477|9353|10371|10461|23213|23414|26038|56776|56977|58494|83700|89766|116369|132612|135138|163589|203447|375337	BCL2|CFTR|CYP19A1|DACH1|DMRT1|LRP2|MSH4|ROR2|PGR|SLIT3|ST14|TTPA|WNT7B|SLIT2|SEMA3A|MERTK|SULF1|ZFPM2|CHD5|FMN2|STOX2|JAM2|JAM3|UMODL1|SLC26A8|ADAD1|PACRG|TDRD5|NRK|TOPAZ1	-2.5	9
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-2.3	1.7	2.9	27994	668	722	29	4	0.73	58|1950|2043|2138|2139|2239|2637|2736|5087|6886|6928|7053|7481|7852|8549|8854|9420|9863|22881|26508|27086|51384|54567|55083|80144|81792|84870|129446|151449	ACTA1|EGF|EPHA4|EYA1|EYA2|GPC4|GBX2|GLI2|PBX1|TAL1|HNF1B|TGM3|WNT11|CXCR4|LGR5|ALDH1A2|CYP7B1|MAGI2|ANKRD6|HEYL|FOXP1|WNT16|DLL4|KIF26B|FRAS1|ADAMTS12|RSPO3|XIRP2|GDF7	-2.1	16
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-9.8	2.7	7.6	27994	668	765	50	6.5	0.89	2099|2138|2246|2255|2295|2658|3651|3670|4036|4208|4487|4624|4625|4804|4846|6262|6423|6469|6910|6939|7053|7273|7471|7484|8324|9353|9355|9423|9491|9863|23242|23245|23414|23671|30009|51176|51339|55083|57057|58495|64321|65009|80144|81792|129446|170690|286204|341640|342574|388698	ESR1|EYA1|FGF1|FGF10|FOXF2|GDF2|PDX1|ISL1|LRP2|MEF2C|MSX1|MYH6|MYH7|NGFR|NOS3|RYR2|SFRP2|SHH|TBX5|TCF15|TGM3|TTN|WNT1|WNT9B|FZD7|SLIT2|LHX2|NTN1|PSMF1|MAGI2|COBL|ASTN2|ZFPM2|TMEFF2|TBX21|LEF1|DACT1|KIF26B|TBX20|OVOL2|SOX17|NDRG4|FRAS1|ADAMTS12|XIRP2|ADAMTS16|CRB2|FREM2|KRT27|FLG2	-8.3	19
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-5.1	2.2	5.1	27994	668	674	36	5.3	0.87	596|846|2487|2719|2736|3084|4036|4776|4855|4920|5058|5420|5682|6092|6262|6299|6788|7273|8516|8928|9353|9863|10082|10371|22881|23245|23414|43847|51176|55083|80144|81792|129446|170690|219736|341640	BCL2|CASR|FRZB|GPC3|GLI2|NRG1|LRP2|NFATC4|NOTCH4|ROR2|PAK1|PODXL|PSMA1|ROBO2|RYR2|SALL1|STK3|TTN|ITGA8|FOXH1|SLIT2|MAGI2|GPC6|SEMA3A|ANKRD6|ASTN2|ZFPM2|KLK14|LEF1|KIF26B|FRAS1|ADAMTS12|XIRP2|ADAMTS16|STOX1|FREM2	-4.3	7
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-5.4	2.2	5.2	27994	668	741	39	5.3	0.82	70|655|846|2253|2668|2719|2736|3084|3516|3586|3975|4638|4846|5682|6262|6862|6928|7139|7473|7475|7484|8516|8642|8854|9420|23242|23414|26249|27302|79977|81792|84870|85407|89780|129446|131405|147183|170690|340419	ACTC1|BMP7|CASR|FGF8|GDNF|GPC3|GLI2|NRG1|RBPJ|IL10|LHX1|MYLK|NOS3|PSMA1|RYR2|TBXT|HNF1B|TNNT2|WNT3|WNT6|WNT9B|ITGA8|DCHS1|ALDH1A2|CYP7B1|COBL|ZFPM2|KLHL3|BMP10|GRHL2|ADAMTS12|RSPO3|NKD1|WNT3A|XIRP2|TRIM71|KRT25|ADAMTS16|RSPO2	-4.5	17
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-2.7	1.8	3.2	27994	668	650	28	4.3	0.8	596|846|2139|2239|3084|3687|4036|4920|5241|5686|6262|6608|6768|7074|7477|9353|9423|9863|10371|22881|23213|23245|23414|80144|81792|170690|219736|340419	BCL2|CASR|EYA2|GPC4|NRG1|ITGAX|LRP2|ROR2|PGR|PSMA5|RYR2|SMO|ST14|TIAM1|WNT7B|SLIT2|NTN1|MAGI2|SEMA3A|ANKRD6|SULF1|ASTN2|ZFPM2|FRAS1|ADAMTS12|ADAMTS16|STOX1|RSPO2	-2.3	9
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-3.4	1.9	3.8	27994	668	733	33	4.5	0.77	1601|1950|2119|2252|2260|2719|4036|4855|6092|6262|6768|6899|7074|8516|8549|8820|8854|9353|9423|9863|10371|22881|23245|23414|55083|80144|81792|89780|123872|129446|143471|170690|340419	DAB2|EGF|ETV5|FGF7|FGFR1|GPC3|LRP2|NOTCH4|ROBO2|RYR2|ST14|TBX1|TIAM1|ITGA8|LGR5|HESX1|ALDH1A2|SLIT2|NTN1|MAGI2|SEMA3A|ANKRD6|ASTN2|ZFPM2|KIF26B|FRAS1|ADAMTS12|WNT3A|DNAAF1|XIRP2|PSMA8|ADAMTS16|RSPO2	-2.9	13
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-4.9	2.1	4.9	27994	668	724	37	5.1	0.82	652|655|846|1072|1901|2043|2138|2239|2736|3084|3488|4146|4634|4920|5087|5682|6092|6259|6664|7074|7473|7484|8516|8549|9863|10252|23414|54345|54910|80144|85407|129446|143471|339829|340419|341640|344022	BMP4|BMP7|CASR|CFL1|S1PR1|EPHA4|EYA1|GPC4|GLI2|NRG1|IGFBP5|MATN1|MYL3|ROR2|PBX1|PSMA1|ROBO2|RYK|SOX11|TIAM1|WNT3|WNT9B|ITGA8|LGR5|MAGI2|SPRY1|ZFPM2|SOX18|SEMA4C|FRAS1|NKD1|XIRP2|PSMA8|CCDC39|RSPO2|FREM2|NOTO	-4	12
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-2	1.6	2.6	27994	668	693	27	3.9	0.74	94|1741|1950|2099|2239|2304|4208|4638|5420|6092|6928|7046|7074|8549|9353|9839|9863|23245|23414|51176|51548|65009|80144|81792|129446|339829|340419	ACVRL1|DLG3|EGF|ESR1|GPC4|FOXE1|MEF2C|MYLK|PODXL|ROBO2|HNF1B|TGFBR1|TIAM1|LGR5|SLIT2|ZEB2|MAGI2|ASTN2|ZFPM2|LEF1|SIRT6|NDRG4|FRAS1|ADAMTS12|XIRP2|CCDC39|RSPO2	-1.9	10
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-3.4	1.9	3.8	27994	668	700	32	4.6	0.79	71|326|1301|2043|2119|2138|2487|2668|2736|3084|4435|4838|4920|5420|6262|6422|7074|7135|8320|8557|8854|9863|23242|23245|23414|26585|55083|57216|80144|85407|146206|341640	ACTG1|AIRE|11A1|EPHA4|ETV5|EYA1|FRZB|GDNF|GLI2|NRG1|CITED1|NODAL|ROR2|PODXL|RYR2|SFRP1|TIAM1|TNNI1|EOMES|TCAP|ALDH1A2|MAGI2|COBL|ASTN2|ZFPM2|GREM1|KIF26B|VANGL2|FRAS1|NKD1|CARMIL2|FREM2	-2.9	14
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-11	2.7	8	27994	668	823	54	6.6	0.86	655|1482|2139|2255|2294|2625|2626|3082|3084|3207|3212|3214|3217|3237|3239|3400|3549|3936|4036|4208|4488|4824|5076|5081|5100|5457|5629|6262|6496|6662|7080|7273|7490|8092|8549|8646|9241|9353|9420|9421|9464|9863|10481|10660|23245|23493|51176|55083|84870|85366|121643|140628|140706|341640	BMP7|NKX2-5|EYA2|FGF10|FOXF1|GATA3|GATA4|HGF|NRG1|HOXA11|HOXB2|HOXB4|HOXB7|HOXD11|HOXD13|ID4|IHH|LCP1|LRP2|MEF2C|MSX2|NKX3-1|PAX2|PAX7|PCDH8|POU4F1|PROX1|RYR2|SIX3|SOX9|NKX2-1|TTN|WT1|ALX1|LGR5|CHRD|NOG|SLIT2|CYP7B1|HAND1|HAND2|MAGI2|HOXB13|LBX1|ASTN2|HEY2|LEF1|KIF26B|RSPO3|MYLK2|FOXN4|GATA5|CCM2L|FREM2	-9	20
tissue morphogenesis	GO Biological Processes	19	GO:0048729	-2.3	1.7	2.9	27994	668	753	30	4	0.71	1436|2138|2255|3084|3169|4208|4625|4634|5241|5979|6262|6474|6495|6788|7273|7472|8013|8854|9496|9723|9863|10716|23242|23245|23414|27152|54903|55083|80144|166336	CSF1R|EYA1|FGF10|NRG1|FOXA1|MEF2C|MYH7|MYL3|PGR|RET|RYR2|SHOX2|SIX1|STK3|TTN|WNT2|NR4A3|ALDH1A2|TBX4|SEMA3E|MAGI2|TBR1|COBL|ASTN2|ZFPM2|INTU|MKS1|KIF26B|FRAS1|PRICKLE2	-2.1	18
